Dst-Nr85,Ld,Dst-Nr,KZ,Name,Länge,NameL,Dst-Abk,GO-Nr,GO-Abk,Gde-Nr,Gemeinde,Kt.,BP,VP,VG,VD,Y-Koord.,X-Koord.,Höhe,Verkehrsmittel,Quelle_VM,Kommentar_VM,überwachen_VM,use4lineGen
8500117,85,117,2,Aesch,5,,AE,11,SBB,2761,Aesch (BL),BL,*,*,,*,"612,397","257,453",299,Zug,Fahrplan,,,
8578232,85,78232,6,"Aesch BL, Alterszentrum",23,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"611,909","257,191",497,Bus,Fahrplan,,,
8588758,85,88758,8,"Aesch BL, Arlesheimerstrasse",28,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"611,784","258,695",310,Bus_Tram,Fahrplan,,,
8500255,85,255,0,"Aesch BL, Dorf",14,,AESH,37,BLT-blt,2761,Aesch (BL),BL,*,*,,,"611,932","257,656",311,Bus_Tram,Fahrplan,,,1
8578228,85,78228,4,"Aesch BL, Gewerbestrasse",24,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"612,495","259,007",318,Bus,Fahrplan,,,
8588760,85,88760,4,"Aesch BL, Herrenweg",19,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"611,933","258,121",318,Bus_Tram,Fahrplan,,,
8578233,85,78233,4,"Aesch BL, Höhenweg",18,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"611,783","256,896",345,Bus,Fahrplan,,,
8578229,85,78229,2,"Aesch BL, Schwimmbad",20,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"612,400","258,700",299,Bus,Fahrplan,,,
8578230,85,78230,0,"Aesch BL, Schützenmattschule",28,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"612,246","258,063",299,Bus,Fahrplan,,,
8578227,85,78227,6,"Aesch BL, Sonnenweg",19,,,879,BLT Auto,2761,Aesch (BL),BL,*,*,,,"612,629","259,463",288,Bus,Fahrplan,,,
8589283,85,89283,6,"Allschwil, Bettenacker",22,,,823,BVB,2762,Allschwil,BL,*,*,,,"608,759","266,654",276,Bus,Fahrplan,,,
